Cote,Titre,Auteur,Lieu,Edition,Annee,Nb_pages,Matiere,Inventaire,Auteur_Pairs,Auteur_Names,language,notice_key,is_duplicate_row,is_duplicate_inventory,is_duplicate_notice
011/07,فهرس المخطوطات العربية التركية والفارسية والبوسنوية,"فهيم علي, ناميتاك",لندن - سرايفو,مكتبة الغازي منسروبك,1998,,ببليوغرافيا,27943,"[('فهيم علي, ناميتاك', 'إعداد')]","فهيم علي, ناميتاك",ara,"فهرس المخطوطات العربية التركية والفارسية والبوسنوية|فهيم علي, ناميتاك|1998",False,False,False
02/02,مقدمة إلى نظم المكتبة المبنية على الحاسوب,"أ. تيد, لوسي",عمان,المنظمة العربية للعلوم الإدارية,1985,465,علم المكتبات,17847,"[('أ. تيد, لوسي', 'Auteur')]","أ. تيد, لوسي",ara,"مقدمة إلى نظم المكتبة المبنية على الحاسوب|أ. تيد, لوسي|1985",False,False,False
3/43,عندما يحترم الصراع دليل عملي لاستخدام الوساطة في حل النزاعات.,أ. سليكيو كارل,القاهرة,الدار الدولية للنشر والتوزيع,1999,348,العلوم الاجتماعية.,29267,"[('أ. سليكيو كارل', 'Auteur')]",أ. سليكيو كارل,ara,عندما يحترم الصراع دليل عملي لاستخدام الوساطة في حل النزاعات.|أ. سليكيو كارل|1999,False,False,False
32/83,التحليل السياسي الحديث,"أ.د, آل روبرت",القاهرة,مركز الأهرام للترجمة والنشر,1993,204,العلوم السياسية,28505,"[('أ.د, آل روبرت', 'Auteur')]","أ.د, آل روبرت",ara,"التحليل السياسي الحديث|أ.د, آل روبرت|1993",False,False,False
330.114/01,جدل حول التقدم,"أباظة, ابراهيم دسوقي",البيضاء,دار الكتاب,1975,30,الاقتصاد السياسي,11531,"[('أباظة, ابراهيم دسوقي', 'Auteur')]","أباظة, ابراهيم دسوقي",ara,"جدل حول التقدم|أباظة, ابراهيم دسوقي|1975",False,False,False
297.911/06,الإقتصاد الإسلامي : مقوماته ومناهجه,"أباظه, إبراهيم دسوقي",القاهرة,مؤسسة دار الشعب للصحافة,1973,159,الإسلام والعلوم الإقتصادية,587,"[('أباظه, إبراهيم دسوقي', 'Auteur')]","أباظه, إبراهيم دسوقي",ara,"الإقتصاد الإسلامي : مقوماته ومناهجه|أباظه, إبراهيم دسوقي|1973",False,False,False
297.911/06 مكرر,الإقتصاد الإسلامي : مقوماته ومنهاجه,"أباظه, إبراهيم دسوقي",القاهرة,مؤسسة دار الشعب للصحافة,1973,159,الإسلام والعلوم الإقتصادية,10677,"[('أباظه, إبراهيم دسوقي', 'Auteur')]","أباظه, إبراهيم دسوقي",ara,"الإقتصاد الإسلامي : مقوماته ومنهاجه|أباظه, إبراهيم دسوقي|1973",False,False,False
611/01,علم التشريح لطلاب كليات التربية الرياضية,"إبراهيم الدوري, قيس",بغداد,دار المعرفة,1980,443,علم التشريح,6108,"[('إبراهيم الدوري, قيس', 'Auteur')]","إبراهيم الدوري, قيس",ara,"علم التشريح لطلاب كليات التربية الرياضية|إبراهيم الدوري, قيس|1980",False,False,True
611/01 مكرر,علم التشريح لطلاب كليات التربية الرياضية,"إبراهيم الدوري, قيس",بغداد,دار المعرفة,1980,443,علم التشريح,6109,"[('إبراهيم الدوري, قيس', 'Auteur')]","إبراهيم الدوري, قيس",ara,"علم التشريح لطلاب كليات التربية الرياضية|إبراهيم الدوري, قيس|1980",False,False,True
93:297/28,تاريخ الاسلام السياسي والديني والثقافي والاجتماعي. ج1,"إبراهيم حسن, حسن",القاهرة,مكتبة النهضة المصرية,1964,581,التاريخ الاسلامي,511,"[('إبراهيم حسن, حسن', 'Auteur')]","إبراهيم حسن, حسن",ara,"تاريخ الاسلام السياسي والديني والثقافي والاجتماعي. ج1|إبراهيم حسن, حسن|1964",False,False,False
93:297/29,تاريخ الاسلام السياسي والديني والثقافي والإجتماعي. ج2,"إبراهيم حسن, حسن",القاهرة,مكتبة النهضة المصرية,1964,506,التاريخ الاسلامي,512,"[('إبراهيم حسن, حسن', 'Auteur')]","إبراهيم حسن, حسن",ara,"تاريخ الاسلام السياسي والديني والثقافي والإجتماعي. ج2|إبراهيم حسن, حسن|1964",False,False,False
93:297/30,تاريخ الاسلام السياسي والديني والثقافي والاجتماعي. ج3,"إبراهيم حسن, حسن",القاهرة,مكتبة النهضة المصرية,1964,500,التاريخ الاسلامي,513,"[('إبراهيم حسن, حسن', 'Auteur')]","إبراهيم حسن, حسن",ara,"تاريخ الاسلام السياسي والديني والثقافي والاجتماعي. ج3|إبراهيم حسن, حسن|1964",False,False,False
159.9/34 مكرر,سيكلوجية المرأة العاملة,"إبراهيم عبد الفتاح, كاميليا",بيروت,دار النهضة العربية,1984,325,علم النفس,23462,"[('إبراهيم عبد الفتاح, كاميليا', 'Auteur')]","إبراهيم عبد الفتاح, كاميليا",ara,"سيكلوجية المرأة العاملة|إبراهيم عبد الفتاح, كاميليا|1984",False,False,False
801.56/74,التأنيث في اللغة العربية,"إبراهيم, بركات إبراهيم",القاهرة,دار الوفاء للطباعة والنشر والتوزيع,1988,357,النحو العربي,23330,"[('إبراهيم, بركات إبراهيم', 'Auteur')]","إبراهيم, بركات إبراهيم",ara,"التأنيث في اللغة العربية|إبراهيم, بركات إبراهيم|1988",False,False,False
92/87 مكرر,المغاربة والبحر,"إبراهيم, حركات",معرض لشبونة,المملكة المغربية,1998,32,تاريخ المغرب,27965,"[('إبراهيم, حركات', 'Auteur')]","إبراهيم, حركات",ara,"المغاربة والبحر|إبراهيم, حركات|1998",False,True,True
964/202 مكرر,المغاربة والبحر,"إبراهيم, حركات",معرض لشبونة,المملكة المغربية,1998,32,تاريخ المغرب,27966,"[('إبراهيم, حركات', 'Auteur')]","إبراهيم, حركات",ara,"المغاربة والبحر|إبراهيم, حركات|1998",False,False,True
93:297/31,تاريخ الاسلام السياسي والديني والثقافي والاجتماعي. الجزء الرابع,"إبراهيم, حسن حسن",القاهرة,مكتبة النهضة المصرية,1964,702,التاريخ الاسلامي,514,"[('إبراهيم, حسن حسن', 'Auteur')]","إبراهيم, حسن حسن",ara,"تاريخ الاسلام السياسي والديني والثقافي والاجتماعي. الجزء الرابع|إبراهيم, حسن حسن|1964",False,False,False
101.9/09,هيجل أو المثالية المطلقة. الجزء الأول,"إبراهيم, زكريا",القاهرة,مكتبة مصر,1970,477,شخصيات فلسفية : هيجل,10669,"[('إبراهيم, زكريا', 'Auteur')]","إبراهيم, زكريا",ara,"هيجل أو المثالية المطلقة. الجزء الأول|إبراهيم, زكريا|1970",False,False,False
140/01,"مشكلة البنية أو أضواء على ""البنيوية""","إبراهيم, زكريا",مصر,مكتبة مصر,1976,264,فلسفة: البنيوية,7849,"[('إبراهيم, زكريا', 'Auteur')]","إبراهيم, زكريا",ara,"مشكلة البنية أو أضواء على ""البنيوية""|إبراهيم, زكريا|1976",False,False,False
18.01/06,فلسفة الفن في الفكر المعاصر,"إبراهيم, زكريا",القاهرة,مكتبة مصر,1966,420,فلسفة الجمال,10008,"[('إبراهيم, زكريا', 'Auteur')]","إبراهيم, زكريا",ara,"فلسفة الفن في الفكر المعاصر|إبراهيم, زكريا|1966",False,False,False
82.09/11,تاريخ النقد الأدبي عند العرب من العصر الجاهلي الى القرن الرابع الهجري,"إبراهيم, طه أحمد",بيروت,دار الحكمة,,189,النقد الأدبي,9725,"[('إبراهيم, طه أحمد', 'Auteur')]","إبراهيم, طه أحمد",ara,,False,False,True
82.09/97,تاريخ النقد الادبي عند العرب في العصر الجاهلي إلى القرن الرابع الهجري,"إبراهيم, طه أحمد",بيروت,دار الكتب العلمية,,188,النقد الادبي,20487,"[('إبراهيم, طه أحمد', 'Auteur')]","إبراهيم, طه أحمد",ara,,False,False,True
82-31_533/01,القصة اليمنية المعاصرة (1939 -1976),"إبراهيم, عبد الحميد",بيروت,دار العودة,1977,415,الرواية,6828,"[('إبراهيم, عبد الحميد', 'Auteur')]","إبراهيم, عبد الحميد",ara,"القصة اليمنية المعاصرة (1939 -1976)|إبراهيم, عبد الحميد|1977",False,False,False
159.97/11,"العلاج النفسي الحديث, قوة للإنسان","إبراهيم, عبد الستار",القاهرة,مكتبة مدبولي,1983,207,علم النفس المرضي,13616,"[('إبراهيم, عبد الستار', 'Auteur')]","إبراهيم, عبد الستار",ara,"العلاج النفسي الحديث, قوة للإنسان|إبراهيم, عبد الستار|1983",False,False,False
801.56/08,النحو الوظيفي,"إبراهيم, عبد العليم",القاهرة,دار المعارف,1978,443,النحو العربي,5559,"[('إبراهيم, عبد العليم', 'Auteur')]","إبراهيم, عبد العليم",ara,"النحو الوظيفي|إبراهيم, عبد العليم|1978",False,False,False
371/29,المناهج: أسسها وتنظيماتها وتقويم أثرها,"إبراهيم, عبد اللطيف فؤاد",القاهرة,مكتبة مصر,1980,654,مناهج وطرق التدريس,9458,"[('إبراهيم, عبد اللطيف فؤاد', 'Auteur')]","إبراهيم, عبد اللطيف فؤاد",ara,"المناهج: أسسها وتنظيماتها وتقويم أثرها|إبراهيم, عبد اللطيف فؤاد|1980",False,False,False
297.95/18,الإسلام في آفاق سنة ألفين,"إبراهيم, عبد الله",الدار البيضاء,مكتبة النجاح الجديدة,1979,109,الإسلام والقضايا العالمية المعاصرة,11542,"[('إبراهيم, عبد الله', 'Auteur')]","إبراهيم, عبد الله",ara,"الإسلام في آفاق سنة ألفين|إبراهيم, عبد الله|1979",False,False,False
297.418/02,عناصر الإسلام وطرق هديه,"إبراهيم, معوض عوض",بيروت,دار القلم,1977,261,الوعظ والإرشاد,4769,"[('إبراهيم, معوض عوض', 'Auteur')]","إبراهيم, معوض عوض",ara,"عناصر الإسلام وطرق هديه|إبراهيم, معوض عوض|1977",False,False,False
312.82/01,المدينة ومشاكل الإسكان,"أبرمز, تشارلز",بيروت,دار الآفاق الجديدة,1964,230,علم السكان,7934,"[('أبرمز, تشارلز', 'Auteur')]","أبرمز, تشارلز",ara,"المدينة ومشاكل الإسكان|أبرمز, تشارلز|1964",False,False,False
61:92_927/01 ج1و2,عيون الأنبياء في طبقات الأطباء,أبن أبي أصيبعة,بيروت,دار الثقافة,1981,371,طب بيوغرافيا,22489,"[('أبن أبي أصيبعة', 'Auteur')]",أبن أبي أصيبعة,ara,عيون الأنبياء في طبقات الأطباء|أبن أبي أصيبعة|1981,False,False,False
61_927/09,الطب العربي,إبن البيطار,بيروت,دار العلم للجميع,,250,الطب العربي,21083,"[('إبن البيطار', 'Auteur')]",إبن البيطار,ara,,False,False,True
93_468.1/04 ج2,تاريخ العلماء والرواة للعلم بالأندلس,"أبن الفرضي, أبو الوليد عبد الله بن محمد",القاهرة,مكتبة الخانجي,1988,268,تاريخ الأندلس,23028,"[('أبن الفرضي, أبو الوليد عبد الله بن محمد', 'Auteur')]","أبن الفرضي, أبو الوليد عبد الله بن محمد",ara,"تاريخ العلماء والرواة للعلم بالأندلس|أبن الفرضي, أبو الوليد عبد الله بن محمد|1988",False,False,False
78_64/05,التراث العربي المغربي في الموسيقى,"إبن جلون, التومي إدريس",الدار البيضاء,مطبعة الرايس,1979,367,الموسيقى بالمغرب,10253,"[('إبن جلون, التومي إدريس', 'Auteur')]","إبن جلون, التومي إدريس",ara,"التراث العربي المغربي في الموسيقى|إبن جلون, التومي إدريس|1979",False,False,False
297.484/02 ج1,الزواجر عن اقتراف الكبائر,"أبن حجر الهيثمي, أبو العباس أحمد بن محمد",بيروت,دار الكتاب العالمي,1987,446,الكبائر,20185,"[('أبن حجر الهيثمي, أبو العباس أحمد بن محمد', 'Auteur')]","أبن حجر الهيثمي, أبو العباس أحمد بن محمد",ara,"الزواجر عن اقتراف الكبائر|أبن حجر الهيثمي, أبو العباس أحمد بن محمد|1987",False,False,False
930.1/23,مقدمة ابن خلدون,"أبن خلدون, عبد الرحمن بن محمد",بيروت,دار القلم,,457,علم التاريخ,594,"[('أبن خلدون, عبد الرحمن بن محمد', 'Auteur')]","أبن خلدون, عبد الرحمن بن محمد",ara,,False,False,True
930.85_927/11,وفيات الأعيان وأنباء أبناء الزمان. الجزء الثالث,"أبن خلكان, أبو العباس شمس الدين أحمد بن محمد",بيروت,دار صادر,,507,تاريخ حضارة العرب,2559,"[('أبن خلكان, أبو العباس شمس الدين أحمد بن محمد', 'Auteur')]","أبن خلكان, أبو العباس شمس الدين أحمد بن محمد",ara,,False,False,True
930.85_927/14,وفيات الاعيان وأنباء أبناء الزمان. الجزء السادس,"أبن خلكان, أبو العباس شمس الدين أحمد بن محمد",بيروت,دار صادر,,432,تاريخ حضارة العرب,2562,"[('أبن خلكان, أبو العباس شمس الدين أحمد بن محمد', 'Auteur')]","أبن خلكان, أبو العباس شمس الدين أحمد بن محمد",ara,,False,False,True
961.1/05,الدولة الصنهاجية,"أبن عامر, أحمد",تونس,الدار التونسية للنشر,1972,114,تاريخ تونس,5132,"[('أبن عامر, أحمد', 'Auteur')]","أبن عامر, أحمد",ara,"الدولة الصنهاجية|أبن عامر, أحمد|1972",False,False,False
297.4/06,أعلام الموقعين عن رب العالمين. المجلد التاني,"إبن قيم الجوزية, أبو عبد الله محمد بن أبي بكر",بيروت,دار الجيل,1973,427,الفقه والشريعة,546,"[('إبن قيم الجوزية, أبو عبد الله محمد بن أبي بكر', 'Auteur')]","إبن قيم الجوزية, أبو عبد الله محمد بن أبي بكر",ara,"أعلام الموقعين عن رب العالمين. المجلد التاني|إبن قيم الجوزية, أبو عبد الله محمد بن أبي بكر|1973",False,False,False
297.8/13,كتاب المنية والأمل في شرح الملل والنحل,"إبن منصور الحسني, أحمد بن يحيى",لبنان,دار الفكر,1979,231,الفرق والطوائف الإسلامية,4635,"[('إبن منصور الحسني, أحمد بن يحيى', 'Auteur')]","إبن منصور الحسني, أحمد بن يحيى",ara,"كتاب المنية والأمل في شرح الملل والنحل|إبن منصور الحسني, أحمد بن يحيى|1979",False,False,False
159.9/12,علم النفس الصناعي : بحوث عربية وعالمية,"أبو االنيل, محمود السيد",بيروت,دار النهضة العربية,1985,686,علم النفس الصناعي,17417,"[('أبو االنيل, محمود السيد', 'Auteur')]","أبو االنيل, محمود السيد",ara,"علم النفس الصناعي : بحوث عربية وعالمية|أبو االنيل, محمود السيد|1985",False,False,False
297.43/35,الحياة الإجتماعية من خلال بعض كتب الحسبة,"أبو الأجفان, محمد",بغداد,وزارة الأوقاف,,52,التشريع الإسلامي,17919,"[('أبو الأجفان, محمد', 'Auteur')]","أبو الأجفان, محمد",ara,,False,False,True
621.316.1/05,إقتصاديات نظم القدرة الكهربائية,"أبو الخير, محمد هاشم",دمشق,جامعة دمشق,1991,316,الشبكات الكهربائية,26327,"[('أبو الخير, محمد هاشم', 'Auteur')]","أبو الخير, محمد هاشم",ara,"إقتصاديات نظم القدرة الكهربائية|أبو الخير, محمد هاشم|1991",False,False,False
331/09,الوسيط في شرح قانون العمل (المصري واللبناني): النظرية العامة لقانون العمل,"أبو السعود, رمضان",بيروت,الدار الجامعية,1983,523,القانون الاجتماعي,16753,"[('أبو السعود, رمضان', 'Auteur')]","أبو السعود, رمضان",ara,"الوسيط في شرح قانون العمل (المصري واللبناني): النظرية العامة لقانون العمل|أبو السعود, رمضان|1983",False,False,False
961.1/08,عنوان الدراية فيمن عرف من العلماء في المائة السابعة ببجاية,"أبو العباس الغبريني, أحمد بن أحمد بن عبد الله",بيروت,دار الآفاق الجديدة,1979,460,تاريخ تونس,7025,"[('أبو العباس الغبريني, أحمد بن أحمد بن عبد الله', 'Auteur')]","أبو العباس الغبريني, أحمد بن أحمد بن عبد الله",ara,"عنوان الدراية فيمن عرف من العلماء في المائة السابعة ببجاية|أبو العباس الغبريني, أحمد بن أحمد بن عبد الله|1979",False,False,False
51/33,علم الحساب,"أبو العباس, أحمد",بيروت,دار المعارف,1986,313,الرياضيات,19731,"[('أبو العباس, أحمد', 'Auteur')]","أبو العباس, أحمد",ara,"علم الحساب|أبو العباس, أحمد|1986",False,False,False
35/12,حركة العلاقات الانسانية في الادارة,"أبو العرف, فتوح محمود",,مطابع سجل العرب,1977,38,القانون الاداري,12399,"[('أبو العرف, فتوح محمود', 'Auteur')]","أبو العرف, فتوح محمود",ara,"حركة العلاقات الانسانية في الادارة|أبو العرف, فتوح محمود|1977",False,False,False
82.091/98,الرؤية والرمانسية للمصير الإنساني لدى الشاعر العربي الحديث,"أبو العزم, طلعت عبد العزيز",الاسكندرية,الهيئة المصرية العامة للكتاب,1981,463,دراسات أدبية,13977,"[('أبو العزم, طلعت عبد العزيز', 'Auteur')]","أبو العزم, طلعت عبد العزيز",ara,"الرؤية والرمانسية للمصير الإنساني لدى الشاعر العربي الحديث|أبو العزم, طلعت عبد العزيز|1981",False,False,False
82.091/98 مكرر,الرؤية الرومانسية للمصير الإنساني لدى الشاعر العربي الحديث,"أبو العزم, طلعة عبد العزيز",الأسكندرية,الهيئة المصرية العامة للكتاب,1981,463,دراسة أدبية,23598,"[('أبو العزم, طلعة عبد العزيز', 'Auteur')]","أبو العزم, طلعة عبد العزيز",ara,"الرؤية الرومانسية للمصير الإنساني لدى الشاعر العربي الحديث|أبو العزم, طلعة عبد العزيز|1981",False,False,False
551.4/01 مكرر,أصول الجيومورفولوجيا: دراسة الاشكال التضاريسية لسطح الارض,"أبو العينين, حسن سيد أحمد",بيروت,دار النهضة العربية,1979,744,الجيومور فولوجيا,23482,"[('أبو العينين, حسن سيد أحمد', 'Auteur')]","أبو العينين, حسن سيد أحمد",ara,"أصول الجيومورفولوجيا: دراسة الاشكال التضاريسية لسطح الارض|أبو العينين, حسن سيد أحمد|1979",False,False,False
91/11,كوكب الأرض ظواهره التضارسية الكبرى,"أبو العينين, سيد احمد حسن",الأسكندرية,مؤسسة التقافة الجامعية,1976,596,الجغرافية,17138,"[('أبو العينين, سيد احمد حسن', 'Auteur')]","أبو العينين, سيد احمد حسن",ara,"كوكب الأرض ظواهره التضارسية الكبرى|أبو العينين, سيد احمد حسن|1976",False,False,False
801.3/07,المعاجم اللغوية : في ضوء دراسات علم اللغة الحديث,"أبو الفرج, محمد أحمد",بيروت,دار النهضة العربية,1966,150,معاجم لغوية,9144,"[('أبو الفرج, محمد أحمد', 'Auteur')]","أبو الفرج, محمد أحمد",ara,"المعاجم اللغوية : في ضوء دراسات علم اللغة الحديث|أبو الفرج, محمد أحمد|1966",False,False,False
31/26,أساليب الإحصاء التطبيقي,"أبو القاسم, علي",قبرص,دار الشباب,1987,336,الإحصاء,26518,"[('أبو القاسم, علي', 'Auteur')]","أبو القاسم, علي",ara,"أساليب الإحصاء التطبيقي|أبو القاسم, علي|1987",False,False,False
801.56/31,تقويم الفكر النحوي,"أبو المكارم, علي",بيروت,دار الثقافة,1975,291,النحو العربي,11736,"[('أبو المكارم, علي', 'Auteur')]","أبو المكارم, علي",ara,"تقويم الفكر النحوي|أبو المكارم, علي|1975",False,False,False
681.3/24,التجارب العلمية في الدراسات المنطقية والحاسبات العدوية,"أبو النور, حسن",دمشق,مطبعة جامعة دمشق,1988,116,إعلاميات,24928,"[('أبو النور, حسن', 'Auteur')]","أبو النور, حسن",ara,"التجارب العلمية في الدراسات المنطقية والحاسبات العدوية|أبو النور, حسن|1988",False,False,False
159.9/13,علم النفس والشائعات: دراسات عربية وعالمية,"أبو النيل, محمود السيد",بيروت,دار النهضة العربية,1986,243,علم النفس,17419,"[('أبو النيل, محمود السيد', 'Auteur')]","أبو النيل, محمود السيد",ara,"علم النفس والشائعات: دراسات عربية وعالمية|أبو النيل, محمود السيد|1986",False,False,False
159.9/16,القيم والانتاج : دراسات عربية وعالمية,"أبو النيل, محمود السيد",بيروت,دار النهضة العربية,1986,153,علم النفس,17418,"[('أبو النيل, محمود السيد', 'Auteur')]","أبو النيل, محمود السيد",ara,"القيم والانتاج : دراسات عربية وعالمية|أبو النيل, محمود السيد|1986",False,False,False
159.9.052/10 ج1,علم النفس الإجتماعي: دراسات عربية وعالمية,"أبو النيل, محمود السيد",بيروت,دار النهضة العربية,1985,661,علم النفس الإجتماعي,15933,"[('أبو النيل, محمود السيد', 'إعداد')]","أبو النيل, محمود السيد",ara,"علم النفس الإجتماعي: دراسات عربية وعالمية|أبو النيل, محمود السيد|1985",False,False,True
159.9.052/10 ج2,علم النفس الإجتماعي: دراسات عربية وعالمية,"أبو النيل, محمود السيد",بيروت,دار النهضة العربية,1985,531,علم النفس الإجتماعي,15934,"[('أبو النيل, محمود السيد', 'إعداد')]","أبو النيل, محمود السيد",ara,"علم النفس الإجتماعي: دراسات عربية وعالمية|أبو النيل, محمود السيد|1985",False,False,True
159.9.072/02,التحليل العاملي لذكاء وقدرات الإنسان: دراسة عربية وعالمية,"أبو النيل, محمود السيد",بيروت,دار النهضة العربية,1986,470,علم النفس: القياس النفسي,17420,"[('أبو النيل, محمود السيد', 'إعداد')]","أبو النيل, محمود السيد",ara,"التحليل العاملي لذكاء وقدرات الإنسان: دراسة عربية وعالمية|أبو النيل, محمود السيد|1986",False,False,False
347.918/01,التحكيم الاختياري والاجباري,"أبو الوفا, أحمد",الاسكندرية,منشأة المعارف,1978,383,المسطرة المدنية,9656,"[('أبو الوفا, أحمد', 'Auteur')]","أبو الوفا, أحمد",ara,"التحكيم الاختياري والاجباري|أبو الوفا, أحمد|1978",False,False,True
347.918/01 مكرر,التحكيم الاختياري والاجباري,"أبو الوفا, أحمد",الاسكندرية,منشأة المعارف,1978,383,المسطرة المدنية,10658,"[('أبو الوفا, أحمد', 'Auteur')]","أبو الوفا, أحمد",ara,"التحكيم الاختياري والاجباري|أبو الوفا, أحمد|1978",False,False,True
347.918/03,عقد التحكيم واجراءاته,"أبو الوفا, أحمد",الاسكندرية,منشأة المعارف,1974,355,المسطرة المدنية,10657,"[('أبو الوفا, أحمد', 'Auteur')]","أبو الوفا, أحمد",ara,"عقد التحكيم واجراءاته|أبو الوفا, أحمد|1974",False,False,False
323.27/15,الحوار الاستراتيجي الشامل: رموز الجيل الجديد في الأراضي المحتلة بتحدثون,"أبو بكر, توفيق",,مطابع القبس التجارية,1988,172,الثورات,23176,"[('أبو بكر, توفيق', 'Auteur')]","أبو بكر, توفيق",ara,"الحوار الاستراتيجي الشامل: رموز الجيل الجديد في الأراضي المحتلة بتحدثون|أبو بكر, توفيق|1988",False,False,False
82-1/15,ديوان علي أحمد باكثير: أزهار الربى في شعر الصبا,"أبو بكر, حميد محمد",بيروت,دار المناهل,1987,289,ديوان شعري,18829,"[('أبو بكر, حميد محمد', 'Auteur')]","أبو بكر, حميد محمد",ara,"ديوان علي أحمد باكثير: أزهار الربى في شعر الصبا|أبو بكر, حميد محمد|1987",False,False,False
665.6/12,كيمياء وتكنولوجيا البترول,"أبو بكر, محمد",حلب,مديرية الكتب والمطبوعات الجامعية,1983,690,الصناعة النفطية,24820,"[('أبو بكر, محمد', 'Auteur')]","أبو بكر, محمد",ara,"كيمياء وتكنولوجيا البترول|أبو بكر, محمد|1983",False,False,True
665.6/13,كيمياء وتكنولوجيا البترول,"أبو بكر, محمد",حلب,مديرية المتب والمطبوعات الجامعية,1983,232,الصناعة النفطية,24766,"[('أبو بكر, محمد', 'Auteur')]","أبو بكر, محمد",ara,"كيمياء وتكنولوجيا البترول|أبو بكر, محمد|1983",False,False,True
32/57,الفكر السياسي الحديث,"أبو جابر, فايز صالح",بيروت,دار الجيل,1985,261,علوم سياسية,15903,"[('أبو جابر, فايز صالح', 'Auteur')]","أبو جابر, فايز صالح",ara,"الفكر السياسي الحديث|أبو جابر, فايز صالح|1985",False,False,False
368/04,التأمين بين الحضر والإباحة,"أبو جيب, سعدي",بيروث,دار الفكر المعاصر,1989,96,التأمين,23188,"[('أبو جيب, سعدي', 'Auteur')]","أبو جيب, سعدي",ara,"التأمين بين الحضر والإباحة|أبو جيب, سعدي|1989",False,False,False
82.091/97,الإلتزام في الشعر العربي,"أبو حاقة, أحمد",بيروت,دار العلم للملايين,1979,756,دراسة أدبية,9450,"[('أبو حاقة, أحمد', 'Auteur')]","أبو حاقة, أحمد",ara,"الإلتزام في الشعر العربي|أبو حاقة, أحمد|1979",False,False,False
612/03 ج1,الفيزيولوجيا العامة: وظائف الاتصال,"أبو حامد, حسين",دمشق,جامعة دمشق,1989,536,الفيزيولوجيا,26152,"[('أبو حامد, حسين', 'Auteur')]","أبو حامد, حسين",ara,"الفيزيولوجيا العامة: وظائف الاتصال|أبو حامد, حسين|1989",False,False,False
612/03 ج2,الفيزيولوجيا العامة: وظائف الإتصال,"أبو حامد, حسين",دمشق,جامعة دمشق,1989,1199,الفيزيولوجيا,26151,"[('أبو حامد, حسين', 'Auteur')]","أبو حامد, حسين",ara,"الفيزيولوجيا العامة: وظائف الإتصال|أبو حامد, حسين|1989",False,False,False
575/06,علم النسج والتشريح المقارن,"أبو حرب, محمد",دمشق,جامعة دمشق,1986,340,الوراثة,24505,"[('أبو حرب, محمد', 'Auteur')]","أبو حرب, محمد",ara,"علم النسج والتشريح المقارن|أبو حرب, محمد|1986",False,False,True
611.9/02 ج2,علم النسج والتشريح المقارن,"أبو حرب, محمد",دمشق,جامعة دمشق,1986,49,التشريع,26136,"[('أبو حرب, محمد', 'Auteur')]","أبو حرب, محمد",ara,"علم النسج والتشريح المقارن|أبو حرب, محمد|1986",False,False,True
37:297/15,أصالة التثقيف التربوي الإسلامي في الفكر الأندلسي,"أبو حويج, مروان سليم",الكويت,الدار الجامعية,1987,528,علوم التربية والإسلام,23399,"[('أبو حويج, مروان سليم', 'Auteur')]","أبو حويج, مروان سليم",ara,"أصالة التثقيف التربوي الإسلامي في الفكر الأندلسي|أبو حويج, مروان سليم|1987",False,False,False
297.125/104 ج1,تفسير النهر الماد من البحر المحيط,"أبو حيان الأندلسي, محمد بن يوسف بن علي",بيروت,"دار الجنان, مؤسسة الكتب الثقافية",1987,1015,القرآن : تفسير,18800,"[('أبو حيان الأندلسي, محمد بن يوسف بن علي', 'Auteur')]","أبو حيان الأندلسي, محمد بن يوسف بن علي",ara,"تفسير النهر الماد من البحر المحيط|أبو حيان الأندلسي, محمد بن يوسف بن علي|1987",False,False,True
297.125/104 ج2 ق1,تفسير النهر الماد من البحر المحيط,"أبو حيان الأندلسي, محمد بن يوسف بن علي",بيروت,"دار الجنان, مؤسسة الكتب الثقافية",1987,664,القرآن : تفسير,18801,"[('أبو حيان الأندلسي, محمد بن يوسف بن علي', 'Auteur')]","أبو حيان الأندلسي, محمد بن يوسف بن علي",ara,"تفسير النهر الماد من البحر المحيط|أبو حيان الأندلسي, محمد بن يوسف بن علي|1987",False,False,True
297.125/104 ج2 ق2,تفسير النهر الماد من البحر المحيط,"أبو حيان الأندلسي, محمد بن يوسف بن علي",بيروت,"دار الجنان, مؤسسة الكتب الثقافية",1987,1320,القرآن : تفسير,18802,"[('أبو حيان الأندلسي, محمد بن يوسف بن علي', 'Auteur')]","أبو حيان الأندلسي, محمد بن يوسف بن علي",ara,"تفسير النهر الماد من البحر المحيط|أبو حيان الأندلسي, محمد بن يوسف بن علي|1987",False,False,True
297.81/01,الإشارات الإلهية,أبو حيان التوحيدي,بيروت,دار الثقافة,1973,486,التصوف,4684,"[('أبو حيان التوحيدي', 'Auteur')]",أبو حيان التوحيدي,ara,الإشارات الإلهية|أبو حيان التوحيدي|1973,False,False,False
82-9/08,"كتاب الأمتاع والمؤانسة. الجزء الأول, الثاني والثالث","أبو حيان التوحيدي, علي بن محمد",بيروت,دار مكتبة الحياة,,737,الأنواع الأدبية المختلفة,5312,"[('أبو حيان التوحيدي, علي بن محمد', 'Auteur')]","أبو حيان التوحيدي, علي بن محمد",ara,,False,False,True
