Cote,Titre,Auteur,Lieu,Edition,Annee,Nb_pages,Matiere,Inventaire,Auteur_Pairs,Auteur_Names,language,notice_key,is_duplicate_row,is_duplicate_inventory,is_duplicate_notice
338.924/14,التخطيط الإقليمي والتجربة الأردنية,جامعة الدول العربية,عمان,مطبعة الهنداوي,1981,157,التصنيع,3833,"[('جامعة الدول العربية', 'Auteur')]",جامعة الدول العربية,ara,التخطيط الإقليمي والتجربة الأردنية|جامعة الدول العربية|1981,False,False,False
339.31/04,تشريعات الإستثمار في سلطة عمان,جامعة الدول العربية,الكويت,المطبعة العصرية,,22,الإستثمارات,3884,"[('جامعة الدول العربية', 'Auteur')]",جامعة الدول العربية,ara,,False,False,True
339.31/05,تشريعات الإستثمار في سلطة عمان,جامعة الدول العربية,الكويت,المطبعة العصرية,,22,الإستثمارات,3877,"[('جامعة الدول العربية', 'Auteur')]",جامعة الدول العربية,ara,,False,False,True
339.31/05 مكرر,تشريعات الإستثمار في سلطة عمان,جامعة الدول العربية,الكويت,المطبعة العصرية,,22,الإستثمارات,3385,"[('جامعة الدول العربية', 'Auteur')]",جامعة الدول العربية,ara,,False,False,True
339.31/11,تشريعات الإستثمار في سلطة عمان,جامعة الدول العربية,الكويت,المطبعة العصرية,,22,الإستثمارات,3917,"[('جامعة الدول العربية', 'Auteur')]",جامعة الدول العربية,ara,,False,False,True
343.53/01,الوقاية من الجرائم الناجمة عن النمو الإقتصادي,جامعة الدول العربية,الرباط,المنظمة العربية للدفاع الإجتماعي,1983,232,جرائم تمس الإقتصاد التجاري,28614,"[('جامعة الدول العربية', 'Auteur')]",جامعة الدول العربية,ara,الوقاية من الجرائم الناجمة عن النمو الإقتصادي|جامعة الدول العربية|1983,False,False,False
343.911/01,دور الجمهورفي الوقاية من الجريمة,جامعة الدول العربية,الرباط,المنظمة العربية للدفاع الاجتماعي,1981,266,الإنحراف,28609,"[('جامعة الدول العربية', 'Auteur')]",جامعة الدول العربية,ara,دور الجمهورفي الوقاية من الجريمة|جامعة الدول العربية|1981,False,False,False
35.07/03,موازنة الظل إعداد موازنة البرامج في ظل موازنة البنود: دراسة تطبيقية,جامعة الدول العربية,عمان,جامعة الدول العربية,1981,112,نشاط الإدارة,28224,"[('جامعة الدول العربية', 'Auteur')]",جامعة الدول العربية,ara,موازنة الظل إعداد موازنة البرامج في ظل موازنة البنود: دراسة تطبيقية|جامعة الدول العربية|1981,False,True,False
382/04,التبادل التجاري بين الدول العربية والدول الأسوية (عدا الصين الشعبية) لسنوات 1970 - 1979,جامعة الدول العربية,القاهرة,جامعة الدول العربية,,122,التجارة الخارجية,12359,"[('جامعة الدول العربية', 'Auteur')]",جامعة الدول العربية,ara,,False,False,True
382/05,التبادل التجاري بين الدول العربية بعضها مع بعض للسنوات 1970 - 1978,جامعة الدول العربية,القاهرة,جامعة الدول العربية,,220,التجارة الخارجية,12358,"[('جامعة الدول العربية', 'Auteur')]",جامعة الدول العربية,ara,,False,False,True
396/27,ندوة تنمية المرأة الريفية في الوطن العربي,جامعة الدول العربية,الأردن,مركز الأميرة رحمة,1982,240,المرأة,17785,"[('جامعة الدول العربية', 'Auteur')]",جامعة الدول العربية,ara,ندوة تنمية المرأة الريفية في الوطن العربي|جامعة الدول العربية|1982,False,False,False
82-1/121,تشريعات الإستثمار في سلطة عمان,جامعة الدول العربية,الكويت,المطبعة العصرية,,22,الإستثمارات,3883,"[('جامعة الدول العربية', 'Auteur')]",جامعة الدول العربية,ara,,False,True,True
330.191.6/128,الإتفاقية الموحدة لاستتمار رؤوس الأموال العربية في الدول العربية,جامعة الدول العربية (الأمانة العامة),تونس,جامعة الدول العربية,1982,29,الإقتصاد العالمي,28494,"[('جامعة الدول العربية (الأمانة العامة)', 'Auteur')]",جامعة الدول العربية (الأمانة العامة),ara,الإتفاقية الموحدة لاستتمار رؤوس الأموال العربية في الدول العربية|جامعة الدول العربية (الأمانة العامة)|1982,False,False,False
325.1/ 02,مختاراتلا من بحوث ومناقشات ندوة الهجرة الداخلية والتنمية الريفية.,"جامعة الدول العربية , المعهد العربي للتخطيط الكويت",الكويت,المعهه العربي للتخطيط,1992,396,سياسة الهجرة,28659,"[('جامعة الدول العربية , المعهد العربي للتخطيط الكويت', 'Auteur')]","جامعة الدول العربية , المعهد العربي للتخطيط الكويت",ara,"مختاراتلا من بحوث ومناقشات ندوة الهجرة الداخلية والتنمية الريفية.|جامعة الدول العربية , المعهد العربي للتخطيط الكويت|1992",False,False,False
312/30 مكرر,الدول العربية في أرقام: العدد الرابع 1987,جامعة الدول العربية الأمانة العامة,,جامعة الدول العربية,1987,120,إحصائيات,28617,"[('جامعة الدول العربية الأمانة العامة', 'Auteur')]",جامعة الدول العربية الأمانة العامة,ara,الدول العربية في أرقام: العدد الرابع 1987|جامعة الدول العربية الأمانة العامة|1987,False,False,False
297.914/08,أسس التربية الإسلامية,"جامعة الدول العربية, جامعة الملك عبد العزيز",مكة,شركة مكة للطباعة والنشر,1400,,الإسلام وعلوم التربية,12524,"[('جامعة الدول العربية, جامعة الملك عبد العزيز', 'Auteur')]","جامعة الدول العربية, جامعة الملك عبد العزيز",ara,"أسس التربية الإسلامية|جامعة الدول العربية, جامعة الملك عبد العزيز|1400",False,False,False
312/30,الدول العربية في أرقام: العدد الخامس 1988,جامعة الدول العربية. الأمانة العامة,,جامعة الدول العربية,1988,140,إحصائيات,28618,"[('جامعة الدول العربية. الأمانة العامة', 'Auteur')]",جامعة الدول العربية. الأمانة العامة,ara,الدول العربية في أرقام: العدد الخامس 1988|جامعة الدول العربية. الأمانة العامة|1988,False,False,False
664/15,السجل العلمي للمؤتمر الزراعي لعلماء المسلمين,جامعة الرياض,الرياض,عمادة الشؤون المكتبات,1979,42,الصناعات الغذائية,12462,"[('جامعة الرياض', 'Auteur')]",جامعة الرياض,ara,السجل العلمي للمؤتمر الزراعي لعلماء المسلمين|جامعة الرياض|1979,False,False,False
501/02,وقائع الندوة الثانية للعلوم الصرفة المنعقدة تحت شعار من أحل تطبيق أفضل للمناهج الموحدة في رحاب جامعة السليمانية 1 - 5 تموز 1979,جامعة السليمانية,,,,,العلوم,12348,"[('جامعة السليمانية', 'Auteur')]",جامعة السليمانية,ara,,False,False,True
